,ADANA,ADIYAMAN,AFYON,A?RI,AMASYA,ANKARA,ANTALYA,ARTV?N,AYDIN,BALIKES?R,B?LEC?K,B?NGÖL,B?TL?S,BOLU,BURDUR,BURSA,ÇANAKKALE,ÇANKIRI,ÇORUM,DEN?ZL?,D?YARBAKIR,ED?RNE,ELAZI?,ERZ?NCAN,ERZURUM,ESK??EH?R,GAZ?ANTEP,G?RESUN,GÜMÜ?HANE,HAKKAR?,HATAY,ISPARTA,MERS?N,?STANBUL,?ZM?R,KARS,KASTAMONU,KAYSER?,KIRKLAREL?,KIR?EH?R,KOCAEL?,KONYA,KÜTAHYA,MALATYA,MAN?SA,KAHRAMANMARA?,MARD?N,MU?LA,MU?,NEV?EH?R,N??DE,ORDU,R?ZE,SAKARYA,SAMSUN,S??RT,S?NOP,S?VAS,TEK?RDA?,TOKAT,TRABZON,TUNCEL?,?ANLIURFA,U?AK,VAN,YOZGAT,ZONGULDAK,AKSARAY,BAYBURT,KARAMAN,KIRIKKALE,BATMAN,?IRNAK,BARTIN,ARDAHAN,I?DIR,YALOVA,KARABÜK,K?L?S,OSMAN?YE,DÜZCE
ADANA,,329,573,961,613,490,558,1030,883,897,768,628,727,677,666,837,1097,576,575,760,518,1169,486,675,804,688,205,727,786,900,191,616,69,939,900,1007,690,333,1150,375,828,356,673,388,884,185,530,869,738,287,205,718,926,791,729,701,842,429,1071,499,852,621,342,689,895,473,754,265,808,289,475,614,711,769,1034,1064,893,701,242,85,722
ADIYAMAN,329,,902,648,636,755,887,755,1212,1226,1057,349,414,946,995,1126,1397,785,700,1089,205,1438,283,548,529,977,150,712,679,667,320,945,398,1208,1229,732,888,437,1419,571,1097,685,1002,185,1213,164,296,1198,463,518,534,728,853,1060,752,388,894,414,1340,522,779,418,110,1018,582,612,1023,593,654,618,684,301,478,1038,759,751,1162,970,209,244,991
AFYON,573,902,,1308,590,256,292,1236,346,324,210,1102,1295,418,170,273,524,387,498,223,1091,682,960,938,1127,144,778,866,1008,1473,764,169,565,452,327,1327,501,521,663,429,341,223,100,862,311,758,1103,368,1212,440,459,822,1077,304,670,1274,670,696,584,634,1003,1068,915,116,1435,472,487,365,1030,336,331,1187,1284,515,1345,1418,339,447,815,658,373
A?RI,961,648,1308,,735,1052,1429,397,1642,1568,1357,359,234,1144,1425,1417,1688,983,827,1519,443,1636,497,370,184,1285,756,547,384,434,952,1375,1030,1406,1631,217,987,811,1617,941,1295,1115,1363,595,1615,812,518,1664,245,892,939,591,548,1258,743,331,906,616,1538,674,484,424,619,1420,232,840,1221,967,306,1114,977,369,426,1168,310,143,1360,1101,815,876,1189
AMASYA,613,636,590,735,,334,874,694,932,833,622,636,829,409,756,682,953,248,92,809,702,901,549,365,554,567,609,324,435,1141,705,755,639,671,913,754,252,348,882,308,560,560,645,469,897,529,797,954,746,363,441,280,535,523,131,889,258,222,803,114,461,495,720,702,967,196,486,418,457,616,259,802,984,433,776,845,625,366,668,629,454
ANKARA,490,755,256,1052,334,,544,980,598,533,313,899,1092,191,422,382,653,131,242,475,910,683,757,682,871,233,671,610,752,1366,681,421,483,453,579,1071,245,318,664,184,342,258,311,659,563,591,996,620,1009,275,348,566,821,305,414,1097,414,440,585,378,747,812,808,368,1232,216,268,225,774,369,75,1010,1177,283,1089,1162,407,215,730,575,236
ANTALYA,558,887,292,1429,874,544,,1466,342,508,474,1186,1285,682,122,537,708,675,782,220,1076,916,1044,1059,1248,424,763,1111,1170,1458,749,130,489,716,444,1448,789,618,927,572,605,322,364,946,428,743,1088,311,1296,537,544,1095,1310,568,954,1259,958,813,848,876,1236,1179,900,294,1453,684,751,462,1192,375,615,1172,1269,803,1470,1539,603,735,800,643,637
ARTV?N,1030,755,1236,397,694,980,1466,,1578,1462,1251,406,562,1038,1402,1311,1582,894,738,1455,550,1530,544,407,226,1213,863,370,333,771,1021,1401,1099,1300,1559,210,864,848,1511,952,1189,1152,1291,642,1543,865,645,1600,479,929,976,414,159,1152,566,659,729,653,1432,633,233,461,726,1348,569,840,1115,1004,343,1151,905,603,754,1045,117,344,1254,978,922,945,1083
AYDIN,883,1212,346,1642,932,598,342,1578,,293,518,1412,1605,715,272,442,449,729,840,126,1401,657,1270,1272,1461,478,1088,1208,1350,1783,1074,288,831,681,126,1661,843,831,674,771,570,533,408,1172,156,1068,1413,99,1522,750,769,1164,1419,601,1012,1584,1012,1026,629,976,1345,1402,1225,273,1745,814,784,675,1372,643,673,1497,1594,857,1683,1752,507,789,1125,968,670
BALIKES?R,897,1226,324,1568,833,533,508,1462,293,,246,1421,1614,424,397,151,200,659,775,288,1415,408,1279,1198,1387,300,1102,1092,1255,1797,1088,396,889,390,173,1587,672,840,425,706,279,547,224,1181,137,1082,1427,392,1531,764,783,1048,1303,310,896,1598,844,973,380,911,1229,1328,1239,225,1754,749,493,689,1290,660,608,1511,1608,582,1571,1678,216,558,1139,982,379
B?LEC?K,768,1057,210,1357,622,313,474,1251,518,246,,1201,1394,213,352,95,366,444,555,395,1212,477,1059,987,1176,80,973,881,1044,1668,959,351,760,247,417,1376,461,620,458,486,136,418,110,961,381,893,1298,540,1311,577,646,837,1092,99,685,1399,633,753,379,691,1018,1117,1110,249,1534,529,282,523,1079,531,388,1312,1479,371,1360,1467,129,347,1010,853,168
B?NGÖL,628,349,1102,359,636,899,1186,406,1412,1421,1201,,197,1045,1195,1270,1541,884,728,1289,144,1537,142,271,180,1121,457,546,383,509,619,1145,697,1307,1429,383,888,581,1518,715,1196,885,1199,240,1413,463,239,1434,114,662,709,590,557,1159,715,284,868,469,1439,575,483,141,320,1218,337,693,1122,737,305,884,828,197,379,1069,410,474,1261,1002,516,543,1090
B?TL?S,727,414,1295,234,829,1092,1285,562,1605,1614,1394,197,,1238,1388,1463,1734,1077,921,1482,209,1730,335,464,349,1314,522,712,549,340,718,1338,796,1500,1622,432,1081,774,1711,908,1389,1078,1392,433,1606,578,284,1596,83,855,902,756,713,1352,908,97,1061,662,1632,768,649,334,385,1411,168,886,1315,930,471,1016,1021,135,192,1262,491,337,1454,1195,581,642,1283
BOLU,677,946,418,1144,409,191,682,1038,715,424,213,1045,1238,,560,273,544,235,352,603,1101,492,948,774,963,288,862,668,831,1550,868,559,670,262,595,1163,248,509,473,375,151,445,318,850,559,782,1187,748,1155,466,535,624,879,114,472,1288,420,631,394,523,805,904,999,457,1376,407,159,412,866,556,266,1201,1368,174,1147,1254,216,134,919,762,45
BURDUR,666,995,170,1425,756,422,122,1402,272,397,352,1195,1388,560,,415,597,553,664,150,1184,805,1053,1055,1244,302,871,1032,1166,1566,857,51,611,594,374,1444,667,614,805,568,483,315,242,955,358,851,1196,241,1305,533,552,988,1243,446,836,1367,836,809,726,800,1169,1185,1008,172,1528,638,629,458,1188,421,497,1280,1377,681,1466,1535,481,613,908,751,515
BURSA,837,1126,273,1417,682,382,537,1311,442,151,95,1270,1463,273,415,,271,508,624,437,1281,419,1128,1047,1236,149,1042,941,1104,1737,1028,414,829,243,322,1436,521,689,436,555,132,487,173,1030,286,962,1367,541,1380,646,715,897,1152,159,745,1468,693,822,375,760,1078,1177,1179,311,1603,598,342,592,1139,600,457,1381,1548,431,1420,1527,69,407,1079,922,228
ÇANAKKALE,1097,1397,524,1688,953,653,708,1582,449,200,366,1541,1734,544,597,271,,779,895,488,1552,216,1399,1318,1507,420,1302,1212,1375,1997,1288,596,1089,320,325,1707,792,960,233,826,399,747,424,1301,335,1233,1627,548,1651,917,983,1168,1423,430,1016,1739,964,1093,188,1031,1349,1448,1439,425,1874,869,613,863,1410,860,728,1652,1808,702,1691,1798,336,678,1339,1182,499
ÇANKIRI,576,785,387,983,248,131,675,894,729,659,444,884,1077,235,553,508,779,,156,606,922,727,769,613,802,364,701,524,683,1389,767,552,569,497,710,1002,114,348,708,214,386,389,442,689,694,621,1017,751,994,305,387,480,735,349,328,1109,283,442,629,334,661,743,838,499,1215,246,312,311,705,500,105,1022,1204,282,1003,1093,451,195,760,661,280
ÇORUM,575,700,498,827,92,242,782,738,840,775,555,728,921,352,664,624,895,156,,717,766,844,613,457,646,475,630,368,527,1233,726,663,568,614,821,846,195,277,825,216,503,468,553,533,805,550,861,862,838,292,370,324,579,466,172,953,267,286,746,178,505,587,767,610,1059,104,429,326,549,536,167,866,1048,376,847,937,568,309,689,650,397
DEN?ZL?,760,1089,223,1519,809,475,220,1455,126,288,395,1289,1482,603,150,437,488,606,717,,1278,696,1147,1149,1338,355,965,1085,1227,1660,951,165,709,637,224,1538,720,708,713,648,526,410,285,1049,208,945,1290,145,1399,627,646,1041,1296,489,889,1461,889,903,668,853,1222,1279,1102,150,1622,691,672,552,1249,520,550,1374,1471,734,1560,1629,502,666,1002,845,558
D?YARBAKIR,518,205,1091,443,702,910,1076,550,1401,1415,1212,144,209,1101,1184,1281,1552,922,766,1278,,1593,153,406,324,1132,313,690,527,471,509,1134,587,1363,1418,527,954,592,1574,726,1252,874,1191,251,1402,369,95,1387,258,673,720,729,701,1215,818,187,960,480,1495,588,627,276,176,1207,377,704,1178,748,449,807,839,100,282,1135,554,546,1317,1068,372,433,1146
